0,1,2,3
SAFE DRINKING WATER AND TOXIC ENFORCEMENT ACT OF 1986,,,
CHEMICALS KNOWN TO THE STATE TO CAUSE CANCER OR REPRODUCTIVE TOXICITY,,,
"August 11, 2023",,,
The Safe Drinking Water and Toxic Enforcement Act of 1986 requires that the Governor revise and,,,
republish at least once per year the list of chemicals known to the State to cause cancer or,,,
reproductive toxicity. The identification number indicated in the following list is the Chemical Abstracts,,,
Service (CAS) Registry Number. No CAS number is given when several substances are presented as,,,
a single listing. The date refers to the initial appearance of the chemical on the list. For easy,,,
"reference, chemicals which are shown underlined are newly added. Chemicals or endpoints shown in",,,
"strikeout were placed on the Proposition 65 list on the date noted, and have subsequently been",,,
removed.,,,
"strikeout were placed on the Proposition 65 list on the date noted, and have subsequently been",,,
removed.,,,
Chemical,Type of Toxicity,CAS No.,Date Listed
"A-alpha-C (2-Amino-9H-pyrido [2,3-",Cancer,26148-68-5,"January 1, 1990"
b]indole),,,
Abiraterone acetate,"developmental, female,",154229-18-2,"April 8, 2016"
,male,,
Acetaldehyde,cancer,75-07-0,"April 1, 1988"
Acetamide,cancer,60-35-5,"January 1, 1990"
Acetazolamide,developmental,59-66-5,"August 20, 1999"
Acetochlor,cancer,34256-82-1,"January 1, 1989"
Acetohydroxamic acid,developmental,546-88-3,"April 1, 1990"
2-Acetylaminofluorene,cancer,53-96-3,"July 1, 1987"
Acifluorfen sodium,cancer,62476-59-9,"January 1, 1990"
Acrylamide,cancer,79-06-1,"January 1, 1990"
Acrylamide,"developmental, male",79-06-1,"February 25, 2011"
Acrylonitrile,cancer,107-13-1,"July 1, 1987"
Actinomycin D,cancer,50-76-0,"October 1, 1989"
Actinomycin D,developmental,50-76-0,"October 1, 1992"
AF-2;[2-(2-furyl)-3-(5-nitro-2-furyl)],cancer,3688-53-7,"July 1, 1987"
acrylamide,,,
Aflatoxins,cancer,---,"January 1, 1988"
Alachlor,cancer,15972-60-8,"January 1, 1989"
Alcoholic beverages,cancer,---,"April 29, 2011"
"Alcoholic beverages, when",cancer,---,"July 1, 1988"
associated with alcohol abuse,,,
Aldrin,cancer,309-00-2,"July 1, 1988"
All-trans retinoic acid,developmental,302-79-4,"January 1, 1989"
"Allyl chloride, Delisted October 29,",cancer,107-05-1,"January 1, 1990"
1999,,,
"Aloe vera, non-decolorized whole",cancer,---,"December 4, 2015"
leaf extract,,,
Alprazolam,developmental,28981-97-7,"July 1, 1990"
Altretamine,"developmental, male",645-05-6,"August 20, 1999"
Amantadine hydrochloride,developmental,665-66-7,"February 27, 2001"
Amikacin sulfate,developmental,39831-55-5,"July 1, 1990"
2-Aminoanthraquinone,cancer,117-79-3,"October 1, 1989"
p-Aminoazobenzene,cancer,60-09-3,"January 1, 1990"
o-Aminoazotoluene,cancer,97-56-3,"July 1, 1987"
Chemical,Type of Toxicity,CAS No.,Date Listed
4-Aminobiphenyl (4-amino-diphenyl),cancer,92-67-1,"February 27, 1987"
2-Amino-4-chlorophenol,cancer,95-85-2,"September 13, 2019"
"1-Amino-2,4-dibromo-",cancer,81-49-2,"August 26, 1997"
anthraquinone,,,
3-Amino-9-ethylcarbazole,cancer,6109-97-3,"July 1, 1989"
hydrochloride,,,
2-Aminofluorene,cancer,153-78-6,"January 29, 1999"
Aminoglutethimide,developmental,125-84-8,"July 1, 1990"
Aminoglycosides,developmental,---,"October 1, 1992"
1-Amino-2-methylanthraquinone,cancer,82-28-0,"October 1, 1989"
"2-Amino-5-(5-nitro-2-furyl)-1,3,4-",cancer,712-68-5,"July 1, 1987"
thiadiazole,,,
4-Amino-2-nitrophenol,cancer,119-34-6,"January 29, 1999"
Aminopterin,"developmental, female",54-62-6,"July 1, 1987"
Amiodarone hydrochloride,"developmental, female,",19774-82-4,"August 26, 1997"
,male,,
Amitraz,developmental,33089-61-1,"March 30, 1999"
Amitrole,cancer,61-82-5,"July 1, 1987"
Amoxapine,developmental,14028-44-5,"May 15, 1998"
Amsacrine,cancer,51264-14-3,"August 7, 2009"
"tert-Amyl methyl ether, Delisted",developmental,994-05-8,"December 18, 2009"
"December 13, 2013",,,
Anabolic steroids,"female, male",---,"April 1, 1990"
Analgesic mixtures containing,cancer,---,"February 27, 1987"
phenacetin,,,
Androstenedione,cancer,63-05-8,"May 3, 2011"
Angiotensin converting enzyme,developmental,---,"October 1, 1992"
(ACE) inhibitors,,,
Aniline,cancer,62-53-3,"January 1, 1990"
Aniline hydrochloride,cancer,142-04-1,"May 15, 1998"
o-Anisidine,cancer,90-04-0,"July 1, 1987"
o-Anisidine hydrochloride,cancer,134-29-2,"July 1, 1987"
Anisindione,developmental,117-37-3,"October 1, 1992"
Anthracene,cancer,120-12-7,"August 11, 2023"
Anthraquinone,cancer,84-65-1,"September 28, 2007"
Antimony oxide (Antimony trioxide),cancer,1309-64-4,"October 1, 1990"
Aramite,cancer,140-57-8,"July 1, 1987"
Areca nut,cancer,---,"February 3, 2006"
Aristolochic acids,cancer,---,"July 9, 2004"
Arsenic (inorganic arsenic,cancer,--,"February 27, 1987"
compounds),,,
Arsenic (inorganic oxides),developmental,---,"May 1, 1997"
Asbestos,cancer,1332-21-4,"February 27, 1987"
Aspirin (NOTE:  It is especially,"developmental, female",50-78-2,"July 1, 1990"
important not to use aspirin during,,,
"the last three months of pregnancy,",,,
unless specifically directed to do so,,,
by a physician because it may,,,
cause problems in the unborn child,,,
or complications during delivery.),,,
Atenolol,developmental,29122-68-7,"August 26, 1997"
Atrazine,"developmental, female",1912-24-9,"July 15, 2016"
Auramine,cancer,492-80-8,"July 1, 1987"
Auranofin,developmental,34031-32-8,"January 29, 1999"
Avermectin B1 (Abamectin),developmental,71751-41-2,"December 3, 2010"
Azacitidine,cancer,320-67-2,"January 1, 1992"
Chemical,Type of Toxicity,CAS No.,Date Listed
Azaserine,cancer,115-02-6,"July 1, 1987"
Azathioprine,cancer,446-86-6,"February 27, 1987"
Azathioprine,developmental,446-86-6,"September 1, 1996"
Azobenzene,cancer,103-33-3,"January 1, 1990"
Barbiturates,developmental,---,"October 1, 1992"
Beclomethasone dipropionate,developmental,5534-09-8,"May 15, 1998"
Benomyl,"developmental, male",17804-35-2,"July 1, 1991"
Benthiavalicarb-isopropyl,cancer,177406-68-7,"July 1, 2008"
Benz[a]anthracene,cancer,56-55-3,"July 1, 1987"
Benzene,cancer,71-43-2,"February 27, 1987"
Benzene,"developmental, male",71-43-2,"December 26, 1997"
Benzidine [and its salts],cancer,92-87-5,"February 27, 1987"
Benzidine-based dyes,cancer,---,"October 1, 1992"
Benzodiazepines,developmental,---,"October 1, 1992"
Benzo[b]fluoranthene,cancer,205-99-2,"July 1, 1987"
Benzo[j]fluoranthene,cancer,205-82-3,"July 1, 1987"
Benzo[k]fluoranthene,cancer,207-08-9,"July 1, 1987"
Benzofuran,cancer,271-89-6,"October 1, 1990"
Benzophenone,cancer,119-61-9,"June 22, 2012"
Benzo[a]pyrene,cancer,50-32-8,"July 1, 1987"
Benzotrichloride,cancer,98-07-7,"July 1, 1987"
Benzphetamine hydrochloride,developmental,5411-22-3,"April 1, 1990"
Benzyl chloride,cancer,100-44-7,"January 1, 1990"
Benzyl violet 4B,cancer,1694-09-3,"July 1, 1987"
Beryllium and beryllium compounds,cancer,---,"October 1, 1987"
Betel quid with tobacco,cancer,---,"January 1, 1990"
Betel quid without tobacco,cancer,---,"February 3, 2006"
Bevacizumab,"developmental, female",216974-75-3,"March 8, 2019"
"2,2-Bis(bromomethyl)-1,3-",cancer,3296-90-0,"May 1, 1996"
propanediol,,,
Bis(2-chloroethyl)ether,cancer,111-44-4,"April 1, 1988"
"N,N-Bis(2-chloroethyl)-2-",cancer,494-03-1,"February 27, 1987"
naphthylamine (Chlornapazine),,,
Bischloroethyl nitrosourea (BCNU),cancer,154-93-8,"July 1, 1987"
(Carmustine),,,
Bischloroethyl nitrosourea (BCNU),developmental,154-93-8,"July 1, 1990"
(Carmustine),,,
Bis(chloromethyl)ether,cancer,542-88-1,"February 27, 1987"
"Bis(2-chloro-1-methylethyl)ether,",cancer,---,"October 29, 1999"
technical grade,,,
Bisphenol A (BPA),female,80-05-7,"May 11, 2015"
Bisphenol A (BPA),developmental,80-05-7,"December 18, 2020"
"Bitumens, extracts of steam-refined",cancer,---,"January 1, 1990"
and air refined,,,
Bracken fern,cancer,---,"January 1, 1990"
Bromacil lithium salt,developmental,53404-19-6,"May 18, 1999"
Bromacil lithium salt,male,53404-19-6,"January 17, 2003"
Bromate,cancer,15541-45-4,"May 31, 2002"
Bromochloroacetic acid,cancer,5589-96-8,"April 6, 2010"
1-Bromo-3-chloropropane,cancer,109-70-6,"January 27, 2023"
Bromodichloroacetic acid,cancer,71133-14-7,"July 29, 2016"
Bromodichloromethane,cancer,75-27-4,"January 1, 1990"
Bromoethane,cancer,74-96-4,"December 22, 2000"
Bromoform,cancer,75-25-2,"April 1, 1991"
1-Bromopropane (1-BP),cancer,106-94-5,"August 5, 2016"
Chemical,Type of Toxicity,CAS No.,Date Listed
1-Bromopropane (1-BP),"developmental, female,",106-94-5,"December 7, 2004"
,male,,
2-Bromopropane (2-BP),cancer,75-26-3,"August 11, 2023"
2-Bromopropane (2-BP),"female, male",75-26-3,"May 31, 2005"
Bromoxynil,developmental,1689-84-5,"October 1, 1990"
Bromoxynil octanoate,developmental,1689-99-2,"May 18, 1999"
Butabarbital sodium,developmental,143-81-7,"October 1, 1992"
"1,3-Butadiene",cancer,106-99-0,"April 1, 1988"
"1,3-Butadiene","developmental, female,",106-99-0,"April 16, 2004"
,male,,
"1,4-Butanediol dimethanesulfonate",cancer,55-98-1,"February 27, 1987"
(Busulfan),,,
"1,4-Butanediol dimethanesulfonate",developmental,55-98-1,"January 1, 1989"
(Busulfan),,,
Butylated hydroxyanisole,cancer,25013-16-5,"January 1, 1990"
Butyl benzyl phthalate (BBP),developmental,85-68-7,"December 2, 2005"
1-Butyl glycidyl ether,cancer,2426-08-6,"January 27, 2023"
"n-Butyl glycidyl ether, Delisted April",male,2426-08-6,"August 7, 2009"
"4, 2014",,,
beta-Butyrolactone,cancer,3068-88-0,"July 1, 1987"
Cacodylic acid,cancer,75-60-5,"May 1, 1996"
Cadmium,"developmental, male",---,"May 1, 1997"
Cadmium and cadmium compounds   cancer,,---,"October 1, 1987"
Caffeic acid,cancer,331-39-5,"October 1, 1994"
Cannabis (marijuana) smoke,developmental,---,"January 3, 2020"
Captafol,cancer,2425-06-1,"October 1, 1988"
Captan,cancer,133-06-2,"January 1, 1990"
Carbamazepine,developmental,298-46-4,"January 29, 1999"
Carbaryl,cancer,63-25-2,"February 5, 2010"
Carbaryl,"developmental, female,",63-25-2,"August 7, 2009"
,male,,
Carbazole,cancer,86-74-8,"May 1, 1996"
"Carbon black (airborne, unbound",cancer,1333-86-4,"February 21, 2003"
particles of respirable size),,,
Carbon-black extracts,cancer,---,"January 1, 1990"
Carbon disulfide,"developmental, female,",75-15-0,"July 1, 1989"
,male,,
Carbon monoxide,developmental,630-08-0,"July 1, 1989"
Carbon tetrachloride,cancer,56-23-5,"October 1, 1987"
Carboplatin,developmental,41575-94-4,"July 1, 1990"
N-Carboxymethyl-N-nitrosourea,cancer,60391-92-6,"January 25, 2002"
Catechol,cancer,120-80-9,"July 15, 2003"
Ceramic fibers (airborne particles of,cancer,---,"July 1, 1990"
respirable size),,,
Certain combined chemotherapy for,cancer,---,"February 27, 1987"
lymphomas,,,
Chenodiol,developmental,474-25-9,"April 1, 1990"
Chloral,cancer,75-87-6,"September 13, 2013"
Chloral hydrate,cancer,302-17-0,"September 13, 2013"
Chlorambucil,cancer,305-03-3,"February 27, 1987"
Chlorambucil,developmental,305-03-3,"January 1, 1989"
"Chloramphenicol, Delisted January",cancer,56-75-7,"October 1, 1989"
"4, 2013",,,
Chloramphenicol sodium succinate,cancer,982-57-0,"September 27, 2013"
Chlorcyclizine hydrochloride,developmental,1620-21-9,"July 1, 1987"
Chemical,Type of Toxicity,CAS No.,Date Listed
Chlordane,cancer,57-74-9,"July 1, 1988"
Chlordecone (Kepone),cancer,143-50-0,"January 1, 1988"
Chlordecone (Kepone),developmental,143-50-0,"January 1, 1989"
Chlordiazepoxide,developmental,58-25-3,"January 1, 1992"
Chlordiazepoxide hydrochloride,developmental,438-41-5,"January 1, 1992"
Chlordimeform,cancer,6164-98-3,"January 1, 1989"
Chlorendic acid,cancer,115-28-6,"July 1, 1989"
Chlorinated paraffins (Average,cancer,108171-26-2,"July 1, 1989"
"chain length, C12; approximately",,,
60 percent chlorine by weight),,,
p-Chloroaniline,cancer,106-47-8,"October 1, 1994"
p-Chloroaniline hydrochloride,cancer,20265-96-7,"May 15, 1998"
"Chlorodibromomethane, Delisted",cancer,124-48-1,"January 1, 1990"
"October 29, 1999",,,
Chloroethane (Ethyl chloride),cancer,75-00-3,"July 1, 1990"
1-(2-Chloroethyl)-3-cyclohexyl-1-,cancer,13010-47-4,"January 1, 1988"
nitrosourea (CCNU) (Lomustine),,,
1-(2-Chloroethyl)-3-cyclohexyl-1-,developmental,13010-47-4,"July 1, 1990"
nitrosourea (CCNU) Lomustine),,,
1-(2-Chloroethyl)-3-(4-methyl-,cancer,13909-09-6,"October 1, 1988"
cyclohexyl) -1-nitrosourea (Methyl-,,,
CCNU),,,
Chloroform,cancer,67-66-3,"October 1, 1987"
Chloroform,developmental,67-66-3,"August 7, 2009"
Chloromethyl methyl ether,cancer,107-30-2,"February 27, 1987"
(technical grade),,,
3-Chloro-2-methylpropene,cancer,563-47-3,"July 1, 1989"
1-Chloro-4-nitrobenzene,cancer,100-00-5,"October 29, 1999"
2-Chloronitrobenzene,cancer,88-73-3,"September 13, 2019"
4-Chloro-o-phenylenediamine,cancer,95-83-0,"January 1, 1988"
Chloroprene,cancer,126-99-8,"June 2, 2000"
2-Chloropropionic acid,male,598-78-7,"August 7, 2009"
Chlorothalonil,cancer,1897-45-6,"January 1, 1989"
p-Chloro-o-toluidine,cancer,95-69-2,"January 1, 1990"
"p-Chloro-o-toluidine, strong acid",cancer,---,"May 15, 1998"
salts of,,,
5-Chloro-o-toluidine and its strong,,,
acid salts,cancer,---,"October 24, 1997"
Chlorotrianisene,cancer,569-57-3,"September 1, 1996"
"p-chloro-α,α,α-trifluorotoluene",cancer,98-56-6,"June 28, 2019"
"(para-Chlorobenzotrifluoride,",,,
PCBTF),,,
Chlorozotocin,cancer,54749-90-5,"January 1, 1992"
Chlorpyrifos,developmental,2921-88-2,"December 15, 2017"
"Chlorsulfuron,  Delisted June 6,","developmental, female,",64902-72-3,"May 14, 1999"
2014,male,,
Chromium (hexavalent compounds),cancer,---,"February 27, 1987"
Chromium (hexavalent compounds),"developmental, female,",---,"December 19, 2008"
,male,,
Chrysene,cancer,218-01-9,"January 1, 1990"
C.I. Acid Red 114,cancer,6459-94-5,"July 1, 1992"
C.I. Basic Red 9 monohydrochloride   cancer,,569-61-9,"July 1, 1989"
C.I. Direct Blue 15,cancer,2429-74-5,"August 26, 1997"
C.I. Direct Blue 218,cancer,28407-37-6,"August 26, 1997"
C.I. Disperse Yellow 3,cancer,2832-40-8,"February 8, 2013"
C.I. Solvent Yellow 14,cancer,842-07-9,"May 15, 1998"
Chemical,Type of Toxicity,CAS No.,Date Listed
Ciclosporin (Cyclosporin A;,cancer,59865-13-3;,"January 1, 1992"
Cyclosporine),,79217-60-0,
Cidofovir,"cancer, developmental,",113852-37-2,"January 29, 1999"
,"female, male",,
Cinnamyl anthranilate,cancer,87-29-6,"July 1, 1989"
Cisplatin,cancer,15663-27-1,"October 1, 1988"
Citrus Red No. 2,cancer,6358-53-8,"October 1, 1989"
Cladribine,developmental,4291-63-8,"September 1, 1996"
Clarithromycin,developmental,81103-11-9,"May 1, 1997"
Clobetasol propionate,"developmental, female",25122-46-7,"May 15, 1998"
Clofibrate,cancer,637-07-0,"September 1, 1996"
Clomiphene citrate,cancer,50-41-9,"May 24, 2013"
Clomiphene citrate,developmental,50-41-9,"April 1, 1990"
Clorazepate dipotassium,developmental,57109-90-7,"October 1, 1992"
CMNP (pyrazachlor),cancer,6814-58-0,"August 25, 2015"
Cobalt metal powder,cancer,7440-48-4,"July 1, 1992"
Cobalt [II] oxide,cancer,1307-96-6,"July 1, 1992"
Cobalt sulfate,cancer,10124-43-3,"May 20, 2005"
Cobalt sulfate heptahydrate,cancer,10026-24-1,"June 2, 2000"
Cocaine,"developmental, female",50-36-2,"July 1, 1989"
Coconut oil diethanolamine,cancer,---,"June 22, 2012"
condensate (cocamide,,,
diethanolamine),,,
Codeine phosphate,developmental,52-28-8,"May 15, 1998"
Coke oven emissions,cancer,---,"February 27, 1987"
Colchicine,"developmental, male",64-86-8,"October 1, 1992"
Conjugated estrogens,cancer,---,"February 27, 1987"
Conjugated estrogens,developmental,---,"April 1, 1990"
Creosotes,cancer,---,"October 1, 1988"
p-Cresidine,cancer,120-71-8,"January 1, 1988"
Cumene,cancer,98-82-8,"April 6, 2010"
Cupferron,cancer,135-20-6,"January 1, 1988"
Cyanazine,developmental,21725-46-2,"April 1, 1990"
Cycasin,cancer,14901-08-7,"January 1, 1988"
Cycloate,developmental,1134-23-2,"March 19, 1999"
"Cyclohexanol,  Delisted January 25,",male,108-93-0,"November 6, 1998"
2002,,,
Cycloheximide,developmental,66-81-9,"January 1, 1989"
Cyclopenta[cd]pyrene,cancer,27208-37-3,"April 29, 2011"
Cyclophosphamide (anhydrous),cancer,50-18-0,"February 27, 1987"
Cyclophosphamide (anhydrous),"developmental, female,",50-18-0,"January 1, 1989"
,male,,
Cyclophosphamide (hydrated),cancer,6055-19-2,"February 27, 1987"
Cyclophosphamide (hydrated),"developmental, female,",6055-19-2,"January 1, 1989"
,male,,
Cyhexatin,developmental,13121-70-5,"January 1, 1989"
Cytarabine,developmental,147-94-4,"January 1, 1989"
Cytembena,cancer,21739-91-3,"May 15, 1998"
D&C Orange No. 17,cancer,3468-63-1,"July 1, 1990"
D&C Red No. 8,cancer,2092-56-0,"October 1, 1990"
D&C Red No. 9,cancer,5160-02-1,"July 1, 1990"
D&C Red No. 19,cancer,81-88-9,"July 1, 1990"
Dacarbazine,cancer,4342-03-4,"January 1, 1988"
Dacarbazine,developmental,4342-03-4,"January 29, 1999"
Daminozide,cancer,1596-84-5,"January 1, 1990"
Chemical,Type of Toxicity,CAS No.,Date Listed
Danazol,developmental,17230-88-5,"April 1, 1990"
"Dantron (Chrysazin; 1,8-",cancer,117-10-2,"January 1, 1992"
Dihydroxyanthraquinone),,,
Daunomycin,cancer,20830-81-3,"January 1, 1988"
Daunorubicin hydrochloride,developmental,23541-50-6,"July 1, 1990"
"2,4-D butyric acid","developmental, male",94-82-6,"June 18, 1999"
DDD (Dichlorodiphenyl-,cancer,72-54-8,"January 1, 1989"
dichloroethane),,,
DDE (Dichlorodi-,cancer,72-55-9,"January 1, 1989"
phenyldichloroethylene),,,
DDT (Dichlorodi-,cancer,50-29-3,"October 1 , 1987"
phenyltrichloroethane),,,
"o,p’-DDT","developmental, female,",789-02-6,"May 15, 1998"
,male,,
"p,p’-DDT","developmental, female,",50-29-3,"May 15, 1998"
,male,,
DDVP (Dichlorvos),cancer,62-73-7,"January 1, 1989"
Demeclocycline hydrochloride,developmental,64-73-3,"January 1, 1992"
(internal use),,,
Des-ethyl atrazine (DEA),"developmental, female",6190-65-4,"July 15, 2016"
Des-isopropyl atrazine (DIA),"developmental, female",1007-28-9,"July 15, 2016"
"N,N’-Diacetylbenzidine",cancer,613-35-4,"October 1, 1989"
"2,4-Diaminoanisole",cancer,615-05-4,"October 1, 1990"
"2,4-Diaminoanisole sulfate",cancer,39156-41-7,"January 1, 1988"
"2,4-Diamino-6-chloro-s-triazine","developmental, female",3397-62-4,"July 15, 2016"
(DACT),,,
"4,4’-Diaminodiphenyl ether (4,4’-",cancer,101-80-4,"January 1, 1988"
Oxydianiline),,,
"2,4-Diaminotoluene",cancer,95-80-7,"January 1, 1988"
"Diaminotoluene (mixed), Delisted",cancer,---,"January 1, 1990"
"November 20, 2015",,,
Diazepam,developmental,439-14-5,"January 1, 1992"
Diazoaminobenzene,cancer,136-35-6,"May 20, 2005"
Diazoxide,developmental,364-98-7,"February 27, 2001"
"Dibenz[a,h]acridine",cancer,226-36-8,"January 1, 1988"
"Dibenz[a,j]acridine",cancer,224-42-0,"January 1, 1988"
Dibenzanthracenes,cancer,---,"December 26, 2014"
"Dibenz[a,c]anthracene",cancer,215-58-7,"December 26, 2014"
"Dibenz[a,h]anthracene",cancer,53-70-3,"January 1, 1988"
"Dibenz[a,j]anthracene",cancer,224-41-9,"December 26, 2014"
"7H-Dibenzo[c,g]carbazole",cancer,194-59-2,"January 1, 1988"
"Dibenzo[a,e]pyrene",cancer,192-65-4,"January 1, 1988"
"Dibenzo[a,h]pyrene",cancer,189-64-0,"January 1, 1988"
"Dibenzo[a,i]pyrene",cancer,189-55-9,"January 1, 1988"
"Dibenzo[a,l]pyrene",cancer,191-30-0,"January 1, 1988"
Dibromoacetic acid,cancer,631-64-1,"June 17, 2008"
Dibromoacetonitrile,cancer,3252-43-5,"May 3, 2011"
"1,2-Dibromo-3-chloropropane",cancer,96-12-8,"July 1, 1987"
(DBCP),,,
"1,2-Dibromo-3-chloropropane",male,96-12-8,"February 27, 1987"
(DBCP),,,
"2,3-Dibromo-1-propanol",cancer,96-13-9,"October 1, 1994"
Di-n-butyl phthalate (DBP),"developmental, female,",84-74-2,"December 2, 2005"
,male,,
Dichloroacetic acid,cancer,79-43-6,"May 1, 1996"
Dichloroacetic acid,"developmental, male",79-43-6,"August 7, 2009"
Chemical,Type of Toxicity,CAS No.,Date Listed
p-Dichlorobenzene,cancer,106-46-7,"January 1, 1989"
"3,3’-Dichlorobenzidine",cancer,91-94-1,"October 1, 1987"
"3,3’-Dichlorobenzidine",cancer,612-83-9,"May 15, 1998"
dihydrochloride,,,
"1,1-Dichloro-2,2-bis(p-","developmental, male",72-55-9,"March 30, 2010"
chlorophenyl)ethylene (DDE),,,
"1,4-Dichloro-2-butene",cancer,764-41-0,"January 1, 1990"
"3,3’-Dichloro-4,4’-diaminodiphenyl",cancer,28434-86-8,"January 1, 1988"
ether,,,
"1,1-Dichloroethane",cancer,75-34-3,"January 1, 1990"
Dichloromethane (Methylene,cancer,75-09-2,"April 1, 1988"
chloride),,,
"1,4-Dichloro-2-nitrobenzene",cancer,89-61-2,"September 13, 2019"
"2,4-Dichloro-1-nitrobenzene",cancer,611-06-3,"September 13, 2019"
Dichlorophene,developmental,97-23-4,"April 27, 1999"
"1,2-Dichloropropane",cancer,78-87-5,"January 1, 1990"
"1,3-Dichloro-2-propanol (1,3-DCP)",cancer,96-23-1,"October 8, 2010"
"1,3-Dichloropropene",cancer,542-75-6,"January 1, 1989"
Dichlorphenamide,developmental,120-97-8,"February 27, 2001"
Diclofop-methyl,cancer,51338-27-3,"April 6, 2010"
