0,1,2,3
Diclofop methyl,developmental,51338-27-3,"March 5, 1999"
Dicumarol,developmental,66-76-2,"October 1, 1992"
Dieldrin,cancer,60-57-1,"July 1, 1988"
"Dienestrol, Delisted January 4, 2013",cancer,84-17-3,"January 1, 1990"
Diepoxybutane,cancer,1464-53-5,"January 1, 1988"
Diesel engine exhaust,cancer,---,"October 1, 1990"
Diethanolamine,cancer,111-42-2,"June 22, 2012"
Di(2-ethylhexyl)phthalate (DEHP),cancer,117-81-7,"January 1, 1988"
Di(2-ethylhexyl)phthalate (DEHP),"developmental, male",117-81-7,"October 24, 2003"
"1,2-Diethylhydrazine",cancer,1615-80-1,"January 1, 1988"
Diethylstilbestrol (DES),cancer,56-53-1,"February 27, 1987"
Diethylstilbestrol (DES),developmental,56-53-1,"July 1, 1987"
Diethyl sulfate,cancer,64-67-5,"January 1, 1988"
Diflunisal,"developmental, female",22494-42-4,"January 29, 1999"
"Diglycidyl ether, Delisted April 4,",male,2238-07-5,"August 7, 2009"
2014,,,
Diglycidyl resorcinol ether (DGRE),cancer,101-90-6,"July 1, 1989"
Di-n-hexyl phthalate (DnHP),"female, male",84-75-3,"December 2, 2005"
Dihydroergotamine mesylate,developmental,6190-39-2,"May 1, 1997"
Dihydrosafrole,cancer,94-58-6,"January 1, 1988"
Di-isodecyl phthalate (DIDP),developmental,68515-49-,"April 20, 2007"
,,1/26761-40-0,
Diisononyl phthalate (DINP),cancer,---,"December 20, 2013"
Diisopropyl sulfate,cancer,2973-10-6,"April 1, 1993"
Diltiazem hydrochloride,developmental,33286-22-5,"February 27, 2001"
"3,3’-Dimethoxybenzidine (o-",cancer,119-90-4,"January 1, 1988"
Dianisidine),,,
"3,3’-Dimethoxybenzidine",cancer,20325-40-0,"October 1, 1990"
dihydrochloride,,,
"3,3’-Dimethoxybenzidine-based",cancer,---,"June 11, 2004"
"dyes metabolized to 3,3’-",,,
dimethoxybenzidine,,,
"N,N-Dimethylacetamide",cancer,127-19-5,"September 13, 2019"
"N,N-Dimethylacetamide","developmental, male",127-19-5,"May 21, 2010"
4-Dimethylaminoazobenzene,cancer,60-11-7,"January 1, 1988"
Chemical,Type of Toxicity,CAS No.,Date Listed
trans-2-[(Dimethylamino)methyl-,cancer,55738-54-0,"January 1, 1988"
imino]-5-[2-(5-nitro-2-furyl)vinyl]-,,,
"1,3,4-oxadiazole",,,
"7,12-Dimethylbenz(a)anthracene",cancer,57-97-6,"January 1, 1990"
"3,3’-Dimethylbenzidine (ortho-",cancer,119-93-7,"January 1, 1988"
Tolidine),,,
"3,3’-Dimethylbenzidine-based dyes",cancer,---,"June 11, 2004"
"metabolized to 3,3’-",,,
dimethylbenzidine,,,
"3,3’-Dimethylbenzidine",cancer,612-82-8,"April 1, 1992"
dihydrochloride,,,
Dimethylcarbamoyl chloride,cancer,79-44-7,"January 1, 1988"
"N,N-Dimethylformamide",cancer,68-12-2,"October 27, 2017"
"1,1-Dimethylhydrazine (UDMH)",cancer,57-14-7,"October 1, 1989"
"1,2-Dimethylhydrazine",cancer,540-73-8,"January 1, 1988"
Dimethyl hydrogen phosphite,cancer,868-85-9,"August 11, 2023"
"2,6-Dimethyl-N-nitrosomorpholine",cancer,1456-28-6,"February 8, 2013"
(DMNM),,,
Dimethyl sulfate,cancer,77-78-1,"January 1, 1988"
"N,N-Dimethyl-p-toluidine",cancer,99-97-8,"May 2, 2014"
Dimethylvinylchloride,cancer,513-37-1,"July 1, 1989"
m-Dinitrobenzene,male,99-65-0,"July 1, 1990"
o-Dinitrobenzene,male,528-29-0,"July 1, 1990"
p-Dinitrobenzene,male,100-25-4,"July 1, 1990"
"3,7-Dinitrofluoranthene",cancer,105735-71-5,"August 26, 1997"
"3,9-Dinitrofluoranthene",cancer,22506-53-2,"August 26, 1997"
"1,3-Dinitropyrene",cancer,75321-20-9,"November 2, 2012"
"1,6-Dinitropyrene",cancer,42397-64-8,"October 1, 1990"
"1,8-Dinitropyrene",cancer,42397-65-9,"October 1, 1990"
Dinitrotoluene (technical grade),"female, male",---,"August 20, 1999"
"2,4-Dinitrotoluene",cancer,121-14-2,"July 1, 1988"
"2,4-Dinitrotoluene",male,121-14-2,"August 20, 1999"
"2,6-Dinitrotoluene",cancer,606-20-2,"July 1, 1995"
"2,6-Dinitrotoluene",male,606-20-2,"August 20, 1999"
"Dinitrotoluene mixture, 2,4-/2,6-",cancer,---,"May 1, 1996"
Dinocap,developmental,39300-45-3,"April 1, 1990"
Dinoseb,"developmental, male",88-85-7,"January 1, 1989"
Di-n-propyl isocinchomeronate,cancer,136-45-8,"May 1, 1996"
(MGK Repellent 326),,,
"1,4-Dioxane",cancer,123-91-1,"January 1, 1988"
Diphenylhydantoin (Phenytoin),cancer,57-41-0,"January 1, 1988"
Diphenylhydantoin (Phenytoin),developmental,57-41-0,"July 1, 1987"
"Diphenylhydantoin (Phenytoin),",cancer,630-93-3,"January 1, 1988"
sodium salt,,,
Direct Black 38 (technical grade),cancer,1937-37-7,"January 1, 1988"
Direct Blue 6 (technical grade),cancer,2602-46-2,"January 1, 1988"
Direct Brown 95 (technical grade),cancer,16071-86-6,"October 1, 1988"
Disodium cyanodithioimido-,developmental,138-93-2,"March 30, 1999"
carbonate,,,
Disperse Blue 1,cancer,2475-45-8,"October 1, 1990"
Diuron,cancer,330-54-1,"May 31, 2002"
Doxorubicin hydrochloride,cancer,25316-40-9,"July 1, 1987"
(Adriamycin),,,
Doxorubicin hydrochloride,"developmental, male",25316-40-9,"January 29, 1999"
(Adriamycin),,,
Doxycycline (internal use),developmental,564-25-0,"July 1, 1990"
Chemical,Type of Toxicity,CAS No.,Date Listed
Doxycycline calcium (internal use),developmental,94088-85-4,"January 1, 1992"
Doxycycline hyclate (internal use),developmental,24390-14-5,"October 1, 1991"
Doxycycline monohydrate (internal,developmental,17086-28-1,"October 1, 1991"
use),,,
"2,4-DP (dichloroprop), Delisted",developmental,120-36-5,"April 27, 1999"
"January 25, 2002",,,
Emissions from combustion of coal,cancer,---,"August 7, 2013"
Emissions from high-temperature,cancer,---,"January 3, 2014"
unrefined rapeseed oil,,,
Endrin,developmental,72-20-8,"May 15, 1998"
Environmental tobacco smoke,developmental,---,"June 9, 2006"
(ETS),,,
Epichlorohydrin,cancer,106-89-8,"October 1, 1987"
Epichlorohydrin,male,106-89-8,"September 1, 1996"
Epoxiconazole,cancer,135319-73-2,"April 15, 2011"
Ergotamine tartrate,developmental,379-79-3,"April 1, 1990"
Erionite,cancer,12510-42-,"October 1, 1988"
,,8/66733-21-9,
Estradiol 17B,cancer,50-28-2,"January 1, 1988"
Estragole,cancer,140-67-0,"October 29, 1999"
"Estrogens, steroidal",cancer,---,"August 19, 2005"
Estrogen-progestogen (combined),cancer,---,"November 4, 2011"
used as menopausal therapy,,,
Estrone,cancer,53-16-7,"January 1, 1988"
Estropipate,"cancer, developmental",7280-37-7,"August 26, 1997"
Ethinylestradiol,cancer,57-63-6,"January 1, 1988"
Ethionamide,developmental,536-33-4,"August 26, 1997"
Ethoprop,cancer,13194-48-4,"February 27, 2001"
Ethyl acrylate,cancer,140-88-5,"July 1, 1989"
Ethyl alcohol in alcoholic beverages,developmental,---,"October 1, 1987"
Ethylbenzene,cancer,100-41-4,"June 11, 2004"
"Ethyl-tert-butyl ether, Delisted",male,637-92-3,"December 18, 2009"
"December 13, 2013",,,
Ethyl dipropylthiocarbamate,developmental,759-94-4,"April 27, 1999"
"Ethyl-4,4’-dichlorobenzilate",cancer,510-15-6,"January 1, 1990"
Ethylene dibromide,cancer,106-93-4,"July 1, 1987"
Ethylene dibromide,"developmental, male",106-93-4,"May 15, 1998"
"Ethylene dichloride (1,2-",cancer,107-06-2,"October 1, 1987"
Dichloroethane),,,
Ethylene glycol (ingested),developmental,107-21-1,"June 19, 2015"
Ethylene glycol monoethyl ether,"developmental, male",110-80-5,"January 1, 1989"
Ethylene glycol monoethyl ether,"developmental, male",111-15-9,"January 1, 1993"
acetate,,,
Ethylene glycol monomethyl ether,"developmental, male",109-86-4,"January 1, 1989"
Ethylene glycol monomethyl ether,"developmental, male",110-49-6,"January 1, 1993"
acetate,,,
Ethyleneimine (Aziridine),cancer,151-56-4,"January 1, 1988"
Ethylene oxide,cancer,75-21-8,"July 1, 1987"
Ethylene oxide,female,75-21-8,"February 27, 1987"
Ethylene oxide,"developmental, male",75-21-8,"August 7, 2009"
Ethylene thiourea,cancer,96-45-7,"January 1, 1988"
Ethylene thiourea,developmental,96-45-7,"January 1, 1993"
"2-Ethylhexanoic acid, Delisted",developmental,149-57-5,"August 7, 2009"
"December 13, 2013",,,
2-Ethylhexyl acrylate,cancer,103-11-7,"December 17, 2021"
Chemical,Type of Toxicity,CAS No.,Date Listed
Ethyl methanesulfonate,cancer,62-50-0,"January 1, 1988"
Etodolac,"developmental, female",41340-25-4,"August 20, 1999"
Etoposide,cancer,33419-42-0,"November 4, 2011"
Etoposide,developmental,33419-42-0,"July 1, 1990"
Etoposide in combination with,cancer,---,"November 4, 2011"
cisplatin and bleomycin,,,
Etretinate,developmental,54350-48-0,"July 1, 1987"
Fenoxaprop ethyl,developmental,66441-23-4,"March 26, 1999"
Fenoxycarb,cancer,72490-01-8,"June 2, 2000"
Filgrastim,developmental,121181-53-1,"February 27, 2001"
Fluazifop butyl,developmental,69806-50-4,"November 6, 1998"
Flunisolide,"developmental, female",3385-03-3,"May 15, 1998"
Fluorouracil,developmental,51-21-8,"January 1, 1989"
Fluoxymesterone,developmental,76-43-7,"April 1, 1990"
Flurazepam hydrochloride,developmental,1172-18-5,"October 1, 1992"
Flurbiprofen,"developmental, female",5104-49-4,"August 20, 1999"
Flutamide,developmental,13311-84-7,"July 1, 1990"
Fluticasone propionate,developmental,80474-14-2,"May 15, 1998"
Fluvalinate,developmental,69409-94-5,"November 6, 1998"
Folpet,cancer,133-07-3,"January 1, 1989"
Formaldehyde (gas),cancer,50-00-0,"January 1, 1988"
2-(2-Formylhydrazino)-4-(5-nitro-2-,cancer,3570-75-0,"January 1, 1988"
furyl)thiazole,,,
Fumonisin B1,cancer,116355-83-0,"November 14, 2003"
Furan,cancer,110-00-9,"October 1, 1993"
Furazolidone,cancer,67-45-8,"January 1, 1990"
Furfuryl alcohol,cancer,98-00-0,"September 30, 2016"
Furmecyclox,cancer,60568-05-0,"January 1, 1990"
Fusarin C,cancer,79748-81-5,"July 1, 1995"
Gallium arsenide,cancer,1303-00-0,"August 1, 2008"
Ganciclovir,"cancer, developmental,",82410-32-0,"August 26, 1997"
,male,,
Ganciclovir sodium,"developmental, male",107910-75-8,"August 26, 1997"
Gasoline engine exhaust,cancer,---,"October 1, 1990"
(condensates/extracts),,,
Gemfibrozil,cancer,25812-30-0,"December 22, 2000"
Gemfibrozil,"female, male",25812-30-0,"August 20, 1999"
Gentian violet (Crystal violet),cancer,548-62-9,"November 23, 2018"
Glass wool fibers,cancer,---,"July 1, 1990"
(inhalable and biopersistent),,,
Glu-P-1 (2-Amino-6-methyldipyrido,cancer,67730-11-4,"January 1, 1990"
"[1,2- a:3’,2’-d]imidazole)",,,
"Glu-P-2 (2-Aminodipyrido [1,2-",cancer,67730-10-3,"January 1, 1990"
"a:3’,2’-d]imidazole)",,,
Glycidaldehyde,cancer,765-34-4,"January 1, 1988"
Glycidol,cancer,556-52-5,"July 1, 1990"
Glycidyl methacrylate,cancer,106-91-2,"January 27, 2023"
Glyphosate,cancer,1071-83-6,"July 7, 2017"
Goldenseal root powder,cancer,---,"December 4, 2015"
Goserelin acetate,"developmental, female,",65807-02-5,"August 26, 1997"
,male,,
Griseofulvin,cancer,126-07-8,"January 1, 1990"
Gyromitrin (Acetaldehyde,cancer,16568-02-8,"January 1, 1988"
methylformylhydrazone),,,
Chemical,Type of Toxicity,CAS No.,Date Listed
Halazepam,developmental,23092-17-3,"July 1, 1990"
Halobetasol propionate,developmental,66852-54-8,"August 20, 1999"
Haloperidol,"developmental, female",52-86-8,"January 29, 1999"
Halothane,developmental,151-67-7,"September 1, 1996"
HC Blue 1,cancer,2784-94-3,"July 1, 1989"
Heptachlor,cancer,76-44-8,"July 1, 1988"
Heptachlor,developmental,76-44-8,"August 20, 1999"
Heptachlor epoxide,cancer,1024-57-3,"July 1, 1988"
Herbal remedies containing plant,cancer,---,"July 9, 2004"
species of the genus Aristolochia,,,
Hexachlorobenzene,cancer,118-74-1,"October 1, 1987"
Hexachlorobenzene,developmental,118-74-1,"January 1, 1989"
Hexachlorobutadiene,cancer,87-68-3,"May 3, 2011"
Hexachlorocyclohexane (technical,cancer,---,"October 1, 1987"
grade),,,
Hexachlorodibenzodioxin,cancer,34465-46-8,"April 1, 1988"
Hexachloroethane,cancer,67-72-1,"July 1, 1990"
"2,4-Hexadienal (89% trans, trans",cancer,---,"March 4, 2005"
"isomer; 11% cis, trans isomer)",,,
Hexafluoroacetone,"developmental, male",684-16-2,"August 1, 2008"
Hexamethylphosphoramide,cancer,680-31-9,"January 1, 1988"
Hexamethylphosphoramide,male,680-31-9,"October 1, 1994"
n-Hexane,male,110-54-3,"December 15, 2017"
"2,5-Hexanedione",male,110-13-4,"December 4, 2015"
Histrelin acetate,developmental,---,"May 15, 1998"
Hydramethylnon,"developmental, male",67485-29-4,"March 5, 1999"
Hydrazine,cancer,302-01-2,"January 1, 1988"
Hydrazine sulfate,cancer,10034-93-2,"January 1, 1988"
"Hydrazobenzene (1,2-",cancer,122-66-7,"January 1, 1988"
Diphenylhydrazine),,,
Hydrogen cyanide (HCN) and,male,---,"July 5, 2013"
cyanide salts (CN salts),,,
1-Hydroxyanthraquinone,cancer,129-43-1,"May 27, 2005"
Hydroxyurea,developmental,127-07-1,"May 1, 1997"
Idarubicin hydrochloride,"developmental, male",57852-57-0,"August 20, 1999"
Ifosfamide,developmental,3778-73-2,"July 1, 1990"
Iodine-131,developmental,10043-66-0,"January 1, 1989"
Imazalil,cancer,35554-44-0,"May 20, 2011"
"Indeno[1,2,3-cd]pyrene",cancer,193-39-5,"January 1, 1988"
Indium phosphide,cancer,22398-80-7,"February 27, 2001"
Indium tin oxide,cancer,50926-11-9,"March 19, 2021"
"IQ (2-Amino-3-methylimidazo [4,5-f]",cancer,76180-96-6,"April 1, 1990"
quinoline),,,
Iprodione,cancer,36734-19-7,"May 1, 1996"
Iprovalicarb,cancer,140923-17-7/,"June 1, 2007"
,,140923-25-7,
Iron dextran complex,cancer,9004-66-4,"January 1, 1988"
Isobutyl nitrite,cancer,542-56-3,"May 1, 1996"
Isoprene,cancer,78-79-5,"May 1, 1996"
Isopyrazam,cancer,881685-58-1,"July 24, 2012"
"Isosafrole, Delisted December 8,",cancer,120-58-1,"October 1, 1989"
2006,,,
Isotretinoin,developmental,4759-48-2,"July 1, 1987"
Isoxaflutole,cancer,141112-29-0,"December 22, 2000"
Chemical,Type of Toxicity,CAS No.,Date Listed
Kresoxim-methyl,cancer,143390-89-0,"February 3, 2012"
Lactofen,cancer,77501-63-4,"January 1, 1989"
Lasiocarpine,cancer,303-34-4,"April 1, 1988"
Lead,"developmental, female,",---,"February 27, 1987"
,male,,
Lead and lead compounds,cancer,---,"October 1, 1992"
Lead acetate,cancer,301-04-2,"January 1, 1988"
Lead phosphate,cancer,7446-27-7,"April 1, 1988"
Lead subacetate,cancer,1335-32-6,"October 1, 1989"
Leather dust,cancer,---,"April 29, 2011"
Leucomalachite green,cancer,129-73-7,"April 21, 2023"
Leuprolide acetate,"developmental, female,",74381-53-6,"August 26, 1997"
,male,,
Levodopa,developmental,59-92-7,"January 29, 1999"
Levonorgestrel implants,female,797-63-7,"May 15, 1998"
Lindane and other hexachloro-,cancer,---,"October 1, 1989"
cyclohexane isomers,,,
Linuron,developmental,330-55-2,"March 19, 1999"
Lithium carbonate,developmental,554-13-2,"January 1, 1991"
Lithium citrate,developmental,919-16-4,"January 1, 1991"
Lorazepam,developmental,846-49-1,"July 1, 1990"
Lovastatin,developmental,75330-75-5,"October 1, 1992"
Lynestrenol,cancer,52-76-6,"February 27, 2001"
Malathion,cancer,121-75-5,"May 20, 2016"
"Malonaldehyde, sodium salt",cancer,24382-04-5,"May 3, 2011"
Mancozeb,cancer,8018-01-7,"January 1, 1990"
Maneb,cancer,12427-38-2,"January 1, 1990"
Marijuana smoke,cancer,---,"June 19, 2009"
Me-A-alpha-C (2-Amino-3-methyl-,cancer,68006-83-7,"January 1, 1990"
"9H-pyrido[2,3-b]indole)",,,
Mebendazole,developmental,31431-39-7,"August 20, 1999"
Medroxyprogesterone acetate,cancer,71-58-9,"January 1, 1990"
Medroxyprogesterone acetate,developmental,71-58-9,"April 1, 1990"
Megestrol acetate,cancer,595-33-5,"March 28, 2014"
Megestrol acetate,developmental,595-33-5,"January 1, 1991"
"MeIQ (2-Amino-3,4-dimethyl-",cancer,77094-11-2,"October 1, 1994"
"imidazo[4,5-f]quinoline)",,,
"MeIQx (2-Amino-3,8-dimethyl-",cancer,77500-04-0,"October 1, 1994"
"imidazo[4,5-f]quinoxaline)",,,
Melphalan,cancer,148-82-3,"February 27, 1987"
Melphalan,developmental,148-82-3,"July 1, 1990"
Menotropins,developmental,9002-68-0,"April 1, 1990"
Mepanipyrim,cancer,110235-47-7,"July 1, 2008"
Meprobamate,developmental,57-53-4,"January 1, 1992"
2-Mercaptobenzothiazole,cancer,149-30-4,"October 27, 2017"
Mercaptopurine,developmental,6112-76-1,"July 1, 1990"
Mercury and mercury compounds,developmental,---,"July 1, 1990"
Merphalan,cancer,531-76-0,"April 1, 1988"
Mestranol,cancer,72-33-3,"April 1, 1988"
Metam potassium,cancer,137-41-7,"December 31, 2010"
Methacycline hydrochloride,developmental,3963-95-9,"January 1, 1991"
Metham sodium,cancer,137-42-8,"November 6, 1998"
Chemical,Type of Toxicity,CAS No.,Date Listed
Metham sodium,developmental,137-42-8,"May 15, 1998"
Methanol,developmental,67-56-1,"March 16, 2012"
Methazole,developmental,20354-26-1,"December 1, 1999"
Methimazole,developmental,60-56-0,"July 1, 1990"
Methotrexate,developmental,59-05-2,"January 1, 1989"
Methotrexate sodium,developmental,15475-56-6,"April 1, 1990"
5-Methoxypsoralen with ultraviolet,cancer,484-20-8,"October 1, 1988"
A therapy,,,
8-Methoxypsoralen with ultraviolet,cancer,298-81-7,"February 27, 1987"
A therapy,,,
Methyl acrylate,cancer,96-33-3,"December 17, 2021"
2-Methylaziridine (Propyleneimine),cancer,75-55-8,"January 1, 1988"
Methylazoxymethanol,cancer,590-96-5,"April 1, 1988"
Methylazoxymethanol acetate,cancer,592-62-1,"April 1, 1988"
"Methyl bromide, as a structural",developmental,74-83-9,"January 1, 1993"
fumigant,,,
Methyl carbamate,cancer,598-55-0,"May 15, 1998"
Methyl chloride,developmental,74-87-3,"March 10, 2000"
Methyl chloride,male,74-87-3,"August 7, 2009"
3-Methylcholanthrene,cancer,56-49-5,"January 1, 1990"
5-Methylchrysene,cancer,3697-24-3,"April 1, 1988"
"4,4'-Methylene bis(2-chloroaniline)",cancer,101-14-4,"July 1, 1987"
"4,4'-Methylene bis(N,N-dimethyl)",cancer,101-61-1,"October 1, 1989"
benzenamine,,,
"4,4'-Methylene bis(2-methylaniline)",cancer,838-88-0,"April 1, 1988"
"4,4'-Methylenedianiline",cancer,101-77-9,"January 1, 1988"
"4,4'-Methylenedianiline",cancer,13552-44-8,"January 1, 1988"
dihydrochloride,,,
Methyleugenol,cancer,93-15-2,"November 16, 2001"
Methylhydrazine and its salts,cancer,---,"July 1, 1992"
2-Methylimidazole,cancer,693-98-1,"June 22, 2012"
4-Methylimidazole,cancer,822-36-6,"January 7, 2011"
Methyl iodide,cancer,74-88-4,"April 1, 1988"
Methyl isobutyl ketone,cancer,108-10-1,"November 4, 2011"
Methyl isobutyl ketone (MIBK),developmental,108-10-1,"March 28, 2014"
Methyl isocyanate (MIC),"developmental, female",624-83-9,"November 12, 2010"
"Methyl isopropyl ketone, Delisted",developmental,563-80-4,"February 17, 2012"
"April 4, 2014",,,
Methyl mercury,developmental,---,"July 1, 1987"
Methylmercury compounds,cancer,---,"May 1, 1996"
Methyl methanesulfonate,cancer,66-27-3,"April 1, 1988"
Methyl-n-butyl ketone,male,591-78-6,"August 7, 2009"
Methyl-n-butyl ketone,developmental,591-78-6,"December 4, 2015"
2-Methyl-1-nitroanthraquinone (of,cancer,129-15-7,"April 1, 1988"
uncertain purity),,,
N-Methyl-N'-nitro-N-,cancer,70-25-7,"April 1, 1988"
nitrosoguanidine,,,
N-Methylolacrylamide,cancer,924-42-5,"July 1, 1990"
N-Methylpyrrolidone,developmental,872-50-4,"June 15, 2001"
α-Methyl styrene (alpha-,cancer,98-83-9,"November 2, 2012"
Methylstyrene),,,
"α-Methyl styrene, Delisted April 4,",female,98-83-9,"July 29, 2011"
2014,,,
Methyltestosterone,developmental,58-18-4,"April 1, 1990"
Methylthiouracil,cancer,56-04-2,"October 1, 1989"
Metiram,cancer,9006-42-2,"January 1, 1990"
Chemical,Type of Toxicity,CAS No.,Date Listed
Metiram,developmental,9006-42-2,"March 30, 1999"
Metronidazole,cancer,443-48-1,"January 1, 1988"
Michler's ketone,cancer,90-94-8,"January 1, 1988"
Midazolam hydrochloride,developmental,59467-96-8,"July 1, 1990"
Minocycline hydrochloride (internal,developmental,13614-98-7,"January 1, 1992"
use),,,
Mirex,cancer,2385-85-5,"January 1, 1988"
Misoprostol,developmental,59122-46-2,"April 1, 1990"
Mitomycin C,cancer,50-07-7,"April 1, 1988"
Mitoxantrone hydrochloride,cancer,70476-82-3,"January 23, 2015"
Mitoxantrone hydrochloride,developmental,70476-82-3,"July 1, 1990"
Molinate,"developmental, female,",2212-67-1,"December 11, 2009"
,male,,
Molybdenum trioxide,cancer,1313-27-5,"March 19, 2021"
MON 4660 (dichloroacetyl-1- oxa-4-,cancer,71526-07-3,"March 22, 2011"
"azaspiro(4,5)-decane)",,,
MON 13900 (furilazole),cancer,121776-33-8,"March 22, 2011"
"3-Monochloropropane-1,2- diol (3-",cancer,96-24-2,"October 8, 2010"
MCPD),,,
Monocrotaline,cancer,315-22-0,"April 1, 1988"
MOPP (vincristine-prednisone-,cancer,113803-47-7,"November 4, 2011"
nitrogen mustard-procarbazine,,,
mixture),,,
5-(Morpholinomethyl)-3-  [(5-,cancer,139-91-3,"April 1, 1988"
nitrofurfuryl-idene)- amino]-2-,,,
oxazolidinone,,,
Mustard Gas,cancer,505-60-2,"February 27, 1987"
MX (3-chloro-4-(dichloromethyl)   5-,cancer,77439-76-0,"December 22, 2000"
hydroxy-2(5H)-furanone),,,
Myclobutanil,"developmental, male",88671-89-0,"April 16, 1999"
beta-Myrcene,cancer,123-35-3,"March 27, 2015"
Nabam,developmental,142-59-6,"March 30, 1999"
Nafarelin acetate,developmental,86220-42-0,"April 1, 1990"
Nafenopin,cancer,3771-19-5,"April 1, 1988"
Nalidixic acid,cancer,389-08-2,"May 15, 1998"
Naphthalene,cancer,91-20-3,"April 19, 2002"
1-Naphthylamine,cancer,134-32-7,"October 1, 1989"
2-Naphthylamine,cancer,91-59-8,"February 27, 1987"
Neomycin sulfate (internal use),developmental,1405-10-3,"October 1, 1992"
Netilmicin sulfate,developmental,56391-57-2,"July 1, 1990"
Nickel (Metallic),cancer,7440-02-0,"October 1, 1989"
