0,1,2,3
Nickel acetate,cancer,373-02-4,"October 1, 1989"
Nickel carbonate,cancer,3333-67-3,"October 1, 1989"
Nickel carbonyl,cancer,13463-39-3,"October 1, 1987"
Nickel carbonyl,developmental,13463-39-3,"September 1, 1996"
Nickel compounds,cancer,---,"May 7, 2004"
Nickel (soluble compounds),"developmental, male",---,"October 26, 2018"
Nickel hydroxide,cancer,12054-48-7;,"October 1, 1989"
,,12125-56-3,
Nickelocene,cancer,1271-28-9,"October 1, 1989"
Nickel oxide,cancer,1313-99-1,"October 1, 1989"
Nickel refinery dust from the,cancer,---,"October 1, 1987"
pyrometallurgical process,,,
Nickel subsulfide,cancer,12035-72-2,"October 1, 1987"
Nicotine,developmental,54-11-5,"April 1, 1990"
Chemical,Type of Toxicity,CAS No.,Date Listed
Nifedipine,"developmental, female,",21829-25-4,"January 29, 1999"
,male,,
Nimodipine,developmental,66085-59-4,"April 24, 2001"
Niridazole,cancer,61-57-4,"April 1, 1988"
Nitrapyrin,cancer,1929-82-4,"October 5, 2005"
Nitrapyrin,developmental,1929-82-4,"March 30, 1999"
Nitrilotriacetic acid,cancer,139-13-9,"January 1, 1988"
"Nitrilotriacetic acid, trisodium salt",cancer,18662-53-8,"April 1, 1989"
monohydrate,,,
5-Nitroacenaphthene,cancer,602-87-9,"April 1, 1988"
"5-Nitro-o-anisidine, Delisted",cancer,99-59-2,"October 1, 1989"
"December 8, 2006",,,
o-Nitroanisole,cancer,91-23-6,"October 1, 1992"
para-Nitroanisole,cancer,100-17-4,"September 13, 2019"
Nitrobenzene,cancer,98-95-3,"August 26, 1997"
Nitrobenzene,male,98-95-3,"March 30, 2010"
4-Nitrobiphenyl,cancer,92-93-3,"April 1, 1988"
6-Nitrochrysene,cancer,7496-02-8,"October 1, 1990"
Nitrofen (technical grade),cancer,1836-75-5,"January 1, 1988"
2-Nitrofluorene,cancer,607-57-8,"October 1, 1990"
Nitrofurantoin,male,67-20-9,"April 1, 1991"
Nitrofurazone,cancer,59-87-0,"January 1, 1990"
1-[(5-Nitrofurfurylidene)-amino]- 2-,cancer,555-84-0,"April 1, 1988"
imidazolidinone,,,
N-[4-(5-Nitro-2-furyl)-2-thiazolyl],cancer,531-82-8,"April 1, 1988"
acetamide,,,
Nitrogen mustard,cancer,51-75-2,"January 1, 1988"
(Mechlorethamine),,,
Nitrogen mustard,developmental,51-75-2,"January 1, 1989"
(Mechlorethamine),,,
Nitrogen mustard hydrochloride,cancer,55-86-7,"April 1, 1988"
(Mechlorethamine hydrochloride),,,
Nitrogen mustard hydrochloride,developmental,55-86-7,"July 1, 1990"
(Mechlorethamine hydrochloride),,,
Nitrogen mustard N-oxide,cancer,126-85-2,"April 1, 1988"
Nitrogen mustard N-oxide,cancer,302-70-5,"April 1, 1988"
hydrochloride,,,
Nitromethane,cancer,75-52-5,"May 1, 1997"
2-Nitropropane,cancer,79-46-9,"January 1, 1988"
1-Nitropyrene,cancer,5522-43-0,"October 1, 1990"
4-Nitropyrene,cancer,57835-92-4,"October 1, 1990"
N-Nitrosodi-n-butylamine,cancer,924-16-3,"October 1, 1987"
N-Nitrosodiethanolamine,cancer,1116-54-7,"January 1, 1988"
N-Nitrosodiethylamine,cancer,55-18-5,"October 1, 1987"
N-Nitrosodimethylamine,cancer,62-75-9,"October 1, 1987"
p-Nitrosodiphenylamine,cancer,156-10-5,"January 1, 1988"
N-Nitrosodiphenylamine,cancer,86-30-6,"April 1, 1988"
N-Nitrosodi-n-propylamine,cancer,621-64-7,"January 1, 1988"
N-Nitroso-N-ethylurea,cancer,759-73-9,"October 1, 1987"
N-Nitrosohexamethyleneimine,cancer,932-83-2,"November 23, 2018"
3-(N-Nitrosomethylamino)-,cancer,60153-49-3,"April 1, 1990"
propionitrile,,,
4-(N-Nitrosomethylamino)-1-(3-,cancer,64091-91-4,"April 1, 1990"
pyridyl)1-butanone,,,
N-Nitrosomethyl-n-butylamine,cancer,7068-83-9,"December 26, 2014"
N-Nitrosomethyl-n-decylamine,cancer,75881-22-0,"December 26, 2014"
Chemical,Type of Toxicity,CAS No.,Date Listed
N-Nitrosomethyl-n-dodecylamine,cancer,55090-44-3,"December 26, 2014"
N-Nitrosomethylethylamine,cancer,10595-95-6,"October 1, 1989"
N-Nitrosomethyl-n-heptylamine,cancer,16338-99-1,"December 26, 2014"
N-Nitrosomethyl-n-hexylamine,cancer,28538-70-7,"December 26, 2014"
N-Nitrosomethyl-n-nonylamine,cancer,75881-19-5,"December 26, 2014"
N-Nitrosomethyl-n-octylamine,cancer,34423-54-6,"December 26, 2014"
N-Nitrosomethyl-n-pentylamine,cancer,13256-07-0,"December 26, 2014"
N-Nitrosomethyl-n-propylamine,cancer,924-46-9,"December 26, 2014"
N-Nitrosomethyl-n-tetradecylamine,cancer,75881-20-8,"December 26, 2014"
N-Nitrosomethyl-n-undecylamine,cancer,68107-26-6,"December 26, 2014"
N-Nitroso-N-methylurea,cancer,684-93-5,"October 1, 1987"
N-Nitroso-N-methylurethane,cancer,615-53-2,"April 1, 1988"
N-Nitrosomethylvinylamine,cancer,4549-40-0,"January 1, 1988"
N-Nitrosomorpholine,cancer,59-89-2,"January 1, 1988"
N-Nitrosonornicotine,cancer,16543-55-8,"January 1, 1988"
N-Nitrosopiperidine,cancer,100-75-4,"January 1, 1988"
N-Nitrosopyrrolidine,cancer,930-55-2,"October 1, 1987"
N-Nitrososarcosine,cancer,13256-22-9,"January 1, 1988"
o-Nitrotoluene,cancer,88-72-2,"May 15, 1998"
Nitrous oxide,"developmental, female",10024-97-2,"August 1, 2008"
Norethisterone (Norethindrone),cancer,68-22-4,"October 1, 1989"
Norethisterone (Norethindrone),developmental,68-22-4,"April 1, 1990"
Norethisterone acetate,developmental,51-98-9,"October 1, 1991"
(Norethindrone acetate),,,
Norethisterone (Norethindrone),developmental,68-22-4 / 57-,"April 1, 1990"
/Ethinyl estradiol,,63-6,
Norethisterone(Norethindrone)/,developmental,68-22-4 / 72-,"April 1, 1990"
Mestranol,,33-3,
Norethynodrel,cancer,68-23-5,"February 27, 2001"
Norgestrel,developmental,6533-00-2,"April 1, 1990"
Ochratoxin A,cancer,303-47-9,"July 1, 1990"
Oil Orange SS,cancer,2646-17-5,"April 1, 1988"
"Oral contraceptives, combined",cancer,---,"October 1, 1989"
"Oral contraceptives, sequential",cancer,---,"October 1, 1989"
Oryzalin,cancer,19044-88-3,"September 12, 2008"
Oxadiazon,cancer,19666-30-9,"July 1, 1991"
Oxadiazon,developmental,19666-30-9,"May 15, 1998"
Oxazepam,cancer,604-75-1,"October 1, 1994"
Oxazepam,developmental,604-75-1,"October 1, 1992"
"p,p’-Oxybis(benzenesulfonyl",developmental,80-51-3,"August 7, 2009"
"hydrazide), Delisted December",,,
"13, 2013",,,
Oxydemeton methyl,"female, male",301-12-2,"November 6, 1998"
Oxymetholone,cancer,434-07-1,"January 1, 1988"
Oxymetholone,developmental,434-07-1,"May 1, 1997"
Oxytetracycline (internal use),developmental,79-57-2,"January 1, 1991"
Oxytetracycline hydrochloride,developmental,2058-46-0,"October 1, 1991"
(internal use),,,
Oxythioquinox (Chinomethionat),cancer,2439-01-2,"August 20, 1999"
Oxythioquinox (Chinomethionat),developmental,2439-01-2,"November 6, 1998"
Paclitaxel,"developmental, female,",33069-62-4,"August 26, 1997"
,male,,
Palygorskite fibers (> 5m in length),cancer,12174-11-7,"December 28, 1999"
Panfuran S,cancer,794-93-4,"January 1, 1988"
Chemical,Type of Toxicity,CAS No.,Date Listed
Paramethadione,developmental,115-67-3,"July 1, 1990"
Parathion,cancer,56-38-2,"May 20, 2016"
Penicillamine,developmental,52-67-5,"January 1, 1991"
Pentabromodiphenyl ether mixture,cancer,---,"July 7, 2017"
[DE-71 (technical grade)],,,
Pentachlorophenol,cancer,87-86-5,"January 1, 1990"
Pentachlorophenol and by-products,cancer,---,"October 21, 2016"
of its synthesis (complex mixture),,,
Pentobarbital sodium,developmental,57-33-0,"July 1, 1990"
Pentosan polysulfate sodium,cancer,---,"April 18, 2014"
Pentostatin,developmental,53910-25-1,"September 1, 1996"
Perfluorononanoic acid (PFNA) and,male,---,"December 31, 2021"
its salts,,,
Perfluorooctane sulfonate (PFOS),developmental,1763-23-1,"November 10, 2017"
Perfluorooctane sulfonic acid,cancer,---,"December 24, 2021"
(PFOS) and its salts and,,,
transformation and degradation,,,
precursors,,,
Perfluorooctanoic acid (PFOA),cancer,335-67-1,"February 25, 2022"
Perfluorooctanoic acid (PFOA),developmental,335-67-1,"November 10, 2017"
Pertuzumab,developmental,380610-27-5,"January 27, 2017"
Phenacemide,developmental,63-98-9,"July 1, 1990"
Phenacetin,cancer,62-44-2,"October 1, 1989"
Phenazopyridine,cancer,94-78-0,"January 1, 1988"
Phenazopyridine hydrochloride,cancer,136-40-3,"January 1, 1988"
Phenesterin,cancer,3546-10-9,"July 1, 1989"
Phenobarbital,cancer,50-06-6,"January 1, 1990"
Phenolphthalein,cancer,77-09-8,"May 15, 1998"
Phenoxybenzamine,cancer,59-96-1,"April 1, 1988"
Phenoxybenzamine hydrochloride,cancer,63-92-3,"April 1, 1988"
Phenprocoumon,developmental,435-97-2,"October 1, 1992"
o-Phenylenediamine and its salts,cancer,95-54-5,"May 15, 1998"
Phenyl glycidyl ether,cancer,122-60-1,"October 1, 1990"
"Phenyl glycidyl ether, Delisted April",male,122-60-1,"August 7, 2009"
"4, 2014",,,
Phenylhydrazine and its salts,cancer,---,"July 1, 1992"
"o-Phenylphenate, sodium",cancer,132-27-4,"January 1, 1990"
o-Phenylphenol,cancer,90-43-7,"August 4, 2000"
Phenylphosphine,developmental male,638-21-1,"August 7, 2009"
PhiP(2-Amino-1-methyl-6-,cancer,105650-23-5,"October 1, 1994"
"phenylimidazol[4,5-b]pyridine)",,,
Pimozide,"developmental, female",2062-78-4,"August 20, 1999"
Pioglitazone,cancer,111025-46-8,"April 18, 2014"
Pipobroman,developmental,54-91-1,"July 1, 1990"
Pirimicarb,cancer,23103-98-2,"July 1, 2008"
Plicamycin,developmental,18378-89-7,"April 1, 1990"
Polybrominated biphenyls,cancer,---,"January 1, 1988"
Polybrominated biphenyls,developmental,---,"October 1, 1994"
Polychlorinated biphenyls,cancer,---,"October 1, 1989"
Polychlorinated biphenyls,developmental,---,"January 1, 1991"
Polychlorinated biphenyls,cancer,---,"January 1, 1988"
(containing 60 or more percent,,,
chlorine by molecular weight),,,
Polychlorinated dibenzo-p-dioxins,cancer,---,"October 1, 1992"
Polychlorinated dibenzofurans,cancer,---,"October 1, 1992"
Polygeenan,cancer,53973-98-1,"January 1, 1988"
Chemical,Type of Toxicity,CAS No.,Date Listed
Ponceau MX,cancer,3761-53-3,"April 1, 1988"
Ponceau 3R,cancer,3564-09-8,"April 1, 1988"
Potassium bromate,cancer,7758-01-2,"January 1, 1990"
Potassium dimethyldithiocarbamate,developmental,128-03-0,March 30 1999
Pravastatin sodium,developmental,81131-70-6,"March 3, 2000"
Prednisolone sodium phosphate,developmental,125-02-0,"August 20, 1999"
Primidone,cancer,125-33-7,"August 20, 1999"
Procarbazine,cancer,671-16-9,"January 1, 1988"
Procarbazine hydrochloride,cancer,366-70-1,"January 1, 1988"
Procarbazine hydrochloride,developmental,366-70-1,"July 1, 1990"
Procymidone,cancer,32809-16-8,"October 1, 1994"
Progesterone,cancer,57-83-0,"January 1, 1988"
Pronamide,cancer,23950-58-5,"May 1, 1996"
Propachlor,cancer,1918-16-7,"February 27, 2001"
"1,3-Propane sultone",cancer,1120-71-4,"January 1, 1988"
Propargite,cancer,2312-35-8,"October 1, 1994"
Propargite,developmental,2312-35-8,"June 15, 1999"
Propazine,"developmental, female",139-40-2,"July 15, 2016"
beta-Propiolactone,cancer,57-57-8,"January 1, 1988"
Propoxur,cancer,114-26-1,"August 11, 2006"
Propylene glycol mono-t-butyl ether,cancer,57018-52-7,"June 11, 2004"
Propylene oxide,cancer,75-56-9,"October 1, 1988"
Propylthiouracil,cancer,51-52-5,"January 1, 1988"
Propylthiouracil,developmental,51-52-5,"July 1, 1990"
Pulegone,cancer,89-82-7,"April 18, 2014"
Pymetrozine,cancer,123312-89-0,"March 22, 2011"
Pyridine,cancer,110-86-1,"May 17, 2002"
Pyrimethamine,developmental,58-14-0,"January 29, 1999"
Quazepam,developmental,36735-22-5,"August 26, 1997"
Quinoline and its strong acid salts,cancer,---,"October 24, 1997"
Quizalofop-ethyl,male,76578-14-8,"December 24, 1999"
Radionuclides,cancer,---,"July 1, 1989"
Reserpine,cancer,50-55-5,"October 1, 1989"
Residual (heavy) fuel oils,cancer,---,"October 1, 1990"
Resmethrin,cancer,10453-86-8,"July 1, 2008"
Resmethrin,developmental,10453-86-8,"November 6, 1998"
"Retinol/retinyl esters, when in daily",developmental,---,"July 1, 1989"
"dosages in excess of 10,000 IU,",,,
"or 3,000 retinol equivalents.",,,
(NOTE:  Retinol/retinyl esters are,,,
required and essential for,,,
maintenance of normal,,,
reproductive function. The,,,
recommended daily level during,,,
"pregnancy is 8,000 IU.)",,,
Ribavirin,developmental,36791-04-5,"April 1, 1990"
Chemical,Type of Toxicity,CAS No.,Date Listed
"Salted fish, Chinese-style",cancer,---,"April 29, 2011"
Secobarbital sodium,developmental,309-43-3,"October 1, 1992"
Sedaxane,cancer,874967-67-6,"July 1, 2016"
Selenium sulfide,cancer,7446-34-6,"October 1, 1989"
Sermorelin acetate,developmental,---,"August 20, 1999"
Shale-oils,cancer,68308-34-9,"April 1, 1990"
"Silica, crystalline (airborne particles",cancer,---,"October 1, 1988"
of respirable size),,,
Simazine,"developmental, female",122-34-9,"July 15, 2016"
Sodium dimethyldithiocarbamate,developmental,128-04-1,March 30 1999
Sodium fluoroacetate,male,62-74-8,"November 6, 1998"
"Soots, tars, and mineral",cancer,---,"February 27, 1987"
oils(untreated and mildly treated,,,
oils and used engine oils),,,
Spirodiclofen,cancer,148477-71-8,"October 8, 2010"
Spironolactone,cancer,52-01-7,"May 1, 1997"
Stanozolol,cancer,10418-03-8,"May 1, 1997"
Sterigmatocystin,cancer,10048-13-2,"April 1, 1988"
Streptomycin sulfate,developmental,3810-74-0,"January 1, 1991"
Streptozocin (streptozotocin),"developmental, female,",18883-66-4,"August 20, 1999"
,male,,
Streptozotocin (streptozocin),cancer,18883-66-4,"January 1, 1988"
Strong inorganic acid mists,cancer,---,"March 14, 2003"
containing sulfuric acid,,,
Styrene,cancer,100-42-5,"April 22, 2016"
Styrene oxide,cancer,96-09-3,"October 1, 1988"
Sulfallate,cancer,95-06-7,"January 1, 1988"
Sulfasalazine,cancer,599-79-1,"May 15, 1998"
(Salicylazosulfapyridine),,,
Sulfasalazine,male,599-79-1,"January 29, 1999"
(Salicylazosulfapyridine),,,
Sulfur dioxide,developmental,7446-09-5,"July 29, 2011"
Sulindac,"developmental, female",38194-50-2,"January 29, 1999"
Talc containing asbestiform fibers,cancer,---,"April 1, 1990"
Tamoxifen and its salts,cancer,10540-29-1,"September 1, 1996"
Tamoxifen citrate,developmental,54965-24-1,"July 1, 1990"
Temazepam,developmental,846-50-4,"April 1, 1990"
Teniposide,developmental,29767-20-2,"September 1, 1996"
Terbacil,developmental,5902-51-2,"May 18, 1999"
Teriparatide,cancer,52232-67-4,"August 14, 2015"
Terrazole,cancer,2593-15-9,"October 1, 1994"
Testosterone and its esters,cancer,58-22-0,"April 1, 1988"
Testosterone cypionate,developmental,58-20-8,"October 1, 1991"
Testosterone enanthate,developmental,315-37-7,"April 1, 1990"
Tetrabromobisphenol A,cancer,79-94-7,"October 27, 2017"
"3,3′,4,4′-Tetrachloroazobenzene",cancer,14047-09-7,"July 24, 2012"
"2,3,7,8-Tetrachlorodibenzo-p-",cancer,1746-01-6,"January 1, 1988"
dioxin (TCDD),,,
"2,3,7,8-Tetrachlorodibenzo-p-",developmental,1746-01-6,"April 1, 1991"
dioxin (TCDD),,,
"1,1,1,2-Tetrachloroethane",cancer,630-20-6,"September 13, 2013"
"1,1,2,2-Tetrachloroethane",cancer,79-34-5,"July 1, 1990"
Tetrachloroethylene,cancer,127-18-4,"April 1, 1988"
(Perchloroethylene),,,
Chemical,Type of Toxicity,CAS No.,Date Listed
"p-a,a,a-Tetrachlorotoluene",cancer,5216-25-1,"January 1, 1990"
Tetrachlorvinphos,cancer,22248-79-9,"May 20, 2016"
Tetracycline (internal use),developmental,60-54-8,"October 1, 1991"
Tetracyclines (internal use),developmental,---,"October 1, 1992"
Tetracycline hydrochloride (internal,developmental,64-75-5,"January 1, 1991"
use),,,
Tetrafluoroethylene,cancer,116-14-3,"May 1, 1997"
Δ9-Tetrahydrocannabinol (Δ9-THC;,developmental,,"January 3, 2020"
delta-9-THC),,,
Tetrahydrofuran,cancer,109-99-9,"December 17, 2021"
Tetranitromethane,cancer,509-14-8,"July 1, 1990"
Thalidomide,developmental,50-35-1,"July 1, 1987"
Thioacetamide,cancer,62-55-5,"January 1, 1988"
"4,4'-Thiodianiline",cancer,139-65-1,"April 1, 1988"
Thiodicarb,cancer,59669-26-0,"August 20, 1999"
Thioguanine,developmental,154-42-7,"July 1, 1990"
Thiophanate methyl,"female, male",23564-05-8,"May 18, 1999"
Thiouracil,cancer,141-90-2,"June 11, 2004"
Thiourea,cancer,62-56-6,"January 1, 1988"
Thorium dioxide,cancer,1314-20-1,"February 27, 1987"
"Titanium dioxide (airborne, unbound",cancer,---,"September 2, 2011"
particles of respirable size),,,
"Tobacco, oral use of smokeless",cancer,---,"April 1, 1988"
products,,,
Tobacco smoke,cancer,---,"April 1, 1988"
Tobacco smoke (primary),"developmental, female,",---,"April 1, 1988"
,male,,
Tobramycin sulfate,developmental,49842-07-1,"July 1, 1990"
Toluene,developmental,108-88-3,"January 1, 1991"
,female,108-88-3,"August 7, 2009"
Toluene diisocyanate,cancer,26471-62-5,"October 1, 1989"
o-Toluidine,cancer,95-53-4,"January 1, 1988"
o-Toluidine hydrochloride,cancer,636-21-5,"January 1, 1988"
"para-Toluidine, Delisted October",cancer,106-49-0,"January 1, 1990"
"29, 1999",,,
Topiramate,developmental,97240-79-4,"November 27, 2015"
Toxaphene (Polychlorinated,cancer,8001-35-2,"January 1, 1988"
camphenes),,,
Toxins derived from Fusarium,cancer,---,"August 7, 2009"
Moniliforme (Fusarium,,,
verticillioides),,,
Treosulfan,cancer,299-75-2,"February 27, 1987"
Triadimefon,"developmental, female,",43121-43-3,"March 30, 1999"
,male,,
Triamterene,cancer,396-01-0,"April 18, 2014"
Triazolam,developmental,28911-01-5,"April 1, 1990"
"S,S,S-Tributyl phosphorotrithioate",cancer,78-48-8,"February 25, 2011"
"(Tribufos, DEF)",,,
Tributyltin methacrylate,developmental,2155-70-6,"December 1, 1999"
Trichlormethine (Trimustine,cancer,817-09-4,"January 1, 1992"
hydrochloride),,,
Trichloroacetic acid,cancer,76-03-9,"September 13, 2013"
"1,1,1-Trichloroethane",cancer,71-55-6,"April 21, 2023"
Trichloroethylene,cancer,79-01-6,"April 1, 1988"
Trichloroethylene,"developmental, male",79-01-6,"January 31, 2014"
"2,4,6-Trichlorophenol",cancer,88-06-2,"January 1, 1988"
Chemical,Type of Toxicity,CAS No.,Date Listed
"1,2,3-Trichloropropane",cancer,96-18-4,"October 1,1992"
Trientine hydrochloride,developmental,38260-01-4,"February 27, 2001"
Triforine,developmental,26644-46-2,"June 18, 1999"
"1,3,5-Triglycidyl-s-triazinetrione,",male,2451-62-9,"August 7, 2009"
"Delisted December 13, 2013",,,
Trilostane,developmental,13647-35-3,"April 1, 1990"
Trimethadione,developmental,127-48-0,"January 1, 1991"
"2,4,5-Trimethylaniline and its strong",cancer,---,"October 24, 1997"
acid salts,,,
"Trimethylolpropane triacrylate,",cancer,---,"December 17, 2021"
technical grade,,,
Trimethyl phosphate,cancer,512-56-1,"May 1, 1996"
Trimetrexate glucoronate,developmental,82952-64-5,"August 26, 1997"
TRIM® VX,cancer,---,"May 25, 2018"
"2,4,6-Trinitrotoluene (TNT)",cancer,118-96-7,"December 19, 2008"
Triphenyltin hydroxide,cancer,76-87-9,"July 1, 1992"
Triphenyltin hydroxide,developmental,76-87-9,"March 18, 2002"
Tris(aziridinyl)-p-benzoquinone,cancer,68-76-8,"October 1, 1989"
"(Triaziquone), Delisted December",,,
"8, 2006",,,
Tris(1-aziridinyl)phosphine sulfide,cancer,52-24-4,"January 1, 1988"
(Thiotepa),,,
Tris(2-chloroethyl) phosphate,cancer,115-96-8,"April 1, 1992"
"Tris(2,3-dibromopropyl)phosphate",cancer,126-72-7,"January 1, 1988"
"Tris(1,3-dichloro-2-propyl)",cancer,13674-87-8,"October 28, 2011"
phosphate (TDCPP),,,
Trp-P-1 (Tryptophan-P-1),cancer,62450-06-0,"April 1, 1988"
Trp-P-2 (Tryptophan-P-2),cancer,62450-07-1,"April 1, 1988"
Trypan blue (commercial grade),cancer,72-57-1,"October 1, 1989"
Unleaded gasoline (wholly,cancer,---,"April 1, 1988"
vaporized),,,
Uracil mustard,cancer,66-75-1,"April 1, 1988"
Uracil mustard,"developmental, female,",66-75-1,"January 1, 1992"
,male,,
Urethane (Ethyl carbamate),cancer,51-79-6,"January 1, 1988"
Urethane (Ethyl carbamate),developmental,51-79-6,"October 1, 1994"
Urofollitropin,developmental,97048-13-0,"April 1, 1990"
Valproate (Valproic acid),developmental,99-66-1,"July 1, 1987"
Vanadium pentoxide (orthorhombic,cancer,1314-62-1,"February 11, 2005"
crystalline form),,,
Vinblastine sulfate,developmental,143-67-9,"July 1, 1990"
Vinclozolin,cancer,50471-44-8,"August 20, 1999"
Vinclozolin,developmental,50471-44-8,"May 15, 1998"
Vincristine sulfate,developmental,2068-78-2,"July 1, 1990"
Vinyl bromide,cancer,593-60-2,"October 1, 1988"
Vinyl chloride,cancer,75-01-4,"February 27, 1987"
4-Vinylcyclohexene,cancer,100-40-3,"May 1, 1996"
4-Vinyl-cyclohexene,"female, male",100-40-3,"August 7, 2009"
4-Vinyl-1-cyclohexene diepoxide,cancer,106-87-6,"July 1, 1990"
(Vinyl cyclohexene dioxide),,,
Vinyl cyclohexene dioxide (4-Vinyl-,"female, male",106-87-6,"August 1, 2008"
1-cyclohexene diepoxide),,,
Vinyl fluoride,cancer,75-02-5,"May 1, 1997"
Chemical,Type of Toxicity,CAS No.,Date Listed
"Vinylidene chloride (1,1-",cancer,75-35-4,"December 29, 2017"
Dichloroethylene),,,
"Vinyl trichloride (1,1,2-",cancer,79-00-5,"October 1, 1990"
Trichloroethane),,,
Vismodegib,"developmental, female,",879085-55-9,"January 27, 2017"
,male,,
Warfarin,developmental,81-81-2,"July 1, 1987"
Wood dust,cancer,---,"December 18, 2009"
"2,6-Xylidine (2,6-Dimethylaniline)",cancer,87-62-7,"January 1, 1991"
Zalcitabine,cancer,7481-89-2,"August 7, 2009"
Zidovudine (AZT),cancer,30516-87-1,"December 18, 2009"
Zileuton,"cancer, developmental,",111406-87-2,"December 22, 2000"
,female,,
"Zineb, Delisted October 29, 1999",cancer,12122-67-7,"January 1, 1990"
"Date: August 11, 2023",,,
